"0",""
"0","donnees_temperature_province <- donnees_temperature |> "
"0","  filter(region != ""Île-de-France"") |> "
"0","  droplevels()"
"0",""
"0","table(donnees_temperature_province$region, donnees_temperature_province$densite_pop, useNA = ""ifany"")"
"1","                            
"
"1","                            "
"1"," peu peuplé"
"1"," peuplé"
"1","
  Auvergne-Rhône-Alpes      "
"1","       3285"
"1","   9855"
"1","
  Bourgogne-Franche-Comté   "
"1","       3285"
"1","   5475"
"1","
  Bretagne                  "
"1","          0"
"1","   4380"
"1","
  Centre-Val de Loire       "
"1","       2190"
"1","   4380"
"1","
  Corse                     "
"1","       2190"
"1","      0"
"1","
  Grand Est                 "
"1","       2190"
"1","   8760"
"1","
  Hauts-de-France           "
"1","          0"
"1","   5475"
"1","
  Normandie                 "
"1","       1095"
"1","   4380"
"1","
  Nouvelle-Aquitaine        "
"1","       4380"
"1","   8760"
"1","
  Occitanie                 "
"1","       5475"
"1","   8760"
"1","
  Pays de la Loire          "
"1","          0"
"1","   5475"
"1","
  Provence-Alpes-Côte d'Azur"
"1","       2190"
"1","   4380"
"1","
"
"0","count(donnees_temperature_province, region, densite_pop, .drop = FALSE)"
