"0",""
"0","# réalisation d'un tableau plus complet ?"
"0","donnees_temperature |> "
"0","  summarise("
"0","    across("
"0","      .cols = c(tmin:tmoy, densite_humaine_par_km_carre),"
"0","      .fns = list("
"0","        moyenne = mean,"
"0","        mediane = median,"
"0","        minimum = min,"
"0","        maximum = max,"
"0","        etendu = ~ max(.x) - min(.x), "
"0","        ecart_type = sd,"
"0","        variance = var"
"0","        ),"
"0","      .names = ""{col} {fn}"""
"0","    )"
"0","  ) |> "
"0","  pivot_longer("
"0","    everything(),"
"0","    cols_vary = ""slowest"","
"0","    names_to = c(""mesure"", "".value""),"
"0","    names_pattern = ""(.+) (.+)"""
"0","  )"
